chokepoint,risk_premium,pair,base_cost,security_cost,delta_cost,pct_increase
Bab_el_Mandeb,0.1,Algeciras__Jeddah,5282.095430371579,5282.095430371579,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Kaohsiung,17704.203880730012,17849.80740441319,145.60352368317763,0.8224234462282629
Bab_el_Mandeb,0.1,Algeciras__Lagos,6001.495499311648,6001.495499311648,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Le_Havre,2115.3025305989295,2115.3025305989295,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Los_Angeles,17516.17082978312,17516.17082978312,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Manzanillo_MX,15378.530390712767,15378.530390712767,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Miami,9889.375461481754,9889.375461481754,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Mombasa,8701.364370071027,8846.967893754201,145.603523683174,1.6733413001757271
Bab_el_Mandeb,0.1,Algeciras__Mumbai,9800.89138024723,9946.494903930408,145.60352368317763,1.4856151143214151
Bab_el_Mandeb,0.1,Algeciras__New_York,8167.27300516964,8167.27300516964,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Norfolk,8492.636931353974,8492.636931353974,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Novorossiysk,3976.8315824489196,3976.8315824489196,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Odessa,3774.7135831076357,3774.7135831076357,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Piraeus,2578.605914821702,2578.605914821702,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Port_Klang,14406.875589532436,14552.479113215613,145.60352368317763,1.0106530231229898
Bab_el_Mandeb,0.1,Algeciras__Port_Said,3825.990680121986,3825.990680121986,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Rotterdam,2524.703461585971,2524.703461585971,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Santos,10825.733329092354,10825.733329092354,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Savannah,9182.178794932637,9182.178794932637,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Shanghai,18580.666601066863,18726.27012475004,145.60352368317763,0.7836291711666437
Bab_el_Mandeb,0.1,Algeciras__Shenzhen,17435.030115827878,17580.633639511056,145.60352368317763,0.8351205745896347
Bab_el_Mandeb,0.1,Algeciras__Singapore,14739.843975633019,14885.447499316197,145.60352368317763,0.9878226928580804
Bab_el_Mandeb,0.1,Algeciras__St_Petersburg,4441.995567958344,4441.995567958344,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Stockholm,3748.053393545348,3748.053393545348,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Tangier_Med,42.745280774763614,42.745280774763614,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Tokyo,20339.089924222517,20484.693447905694,145.60352368317763,0.7158802297725889
Bab_el_Mandeb,0.1,Algeciras__Valparaiso,17240.477378024803,17240.477378024803,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Vancouver,19292.093749996173,19292.093749996173,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Balboa,10732.211090135213,10732.211090135213,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Bandar_Abbas,12311.733400188587,12457.33692387176,145.603523683174,1.182640323262228
Bab_el_Mandeb,0.1,Antwerp__Barcelona,3356.311131701255,3356.311131701255,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Basra,13322.021440260743,13467.624963943917,145.603523683174,1.09295368076156
Bab_el_Mandeb,0.1,Antwerp__Bremerhaven,407.60338256015024,407.60338256015024,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Buenos_Aires,14818.679671861128,14818.679671861128,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Busan,21880.384227198952,22025.987750882126,145.603523683174,0.6654523164276883
Bab_el_Mandeb,0.1,Antwerp__Callao,13085.162442001918,13085.162442001918,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Cartagena,10242.104498922095,10242.104498922095,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Colombo,13417.763758153334,13563.367281836508,145.603523683174,1.0851549208018936
Bab_el_Mandeb,0.1,Antwerp__Colon,10664.835918818564,10664.835918818564,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Constanta,5979.3603970919185,5979.3603970919185,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Dakar,5971.22165650343,5971.22165650343,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Dammam,12818.8825313033,12964.486054986473,145.603523683174,1.135851922565129
Bab_el_Mandeb,0.1,Antwerp__Djibouti,9130.30344303566,9267.597518112258,137.29407507659744,1.5037186434512373
Bab_el_Mandeb,0.1,Antwerp__Dubai,12330.78555461161,12476.389078294784,145.603523683174,1.1808130393502747
Bab_el_Mandeb,0.1,Antwerp__Durban,14188.834249684765,14334.43777336794,145.603523683174,1.0261838366771314
Bab_el_Mandeb,0.1,Antwerp__Felixstowe,292.62408103081304,292.62408103081304,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Gdansk,1064.1007719157283,1064.1007719157283,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Genoa,4001.561532855111,4001.561532855111,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Halifax,5497.584713790042,5497.584713790042,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Hamburg,489.5634139829811,489.5634139829811,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Helsinki,1698.4210300156312,1698.4210300156312,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Hong_Kong,19873.128992456717,20018.73251613989,145.603523683174,0.7326653177687369
Bab_el_Mandeb,0.1,Antwerp__Houston,9681.037116097756,9681.037116097756,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Jebel_Ali,12363.453572094404,12509.057095777578,145.603523683174,1.177692970933431
Bab_el_Mandeb,0.1,Antwerp__Jeddah,7757.3626922696785,7757.3626922696785,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Kaohsiung,20179.471142628114,20325.074666311288,145.603523683174,0.7215428127627879
Bab_el_Mandeb,0.1,Antwerp__Lagos,8424.147944916076,8424.147944916076,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Le_Havre,359.9647312991706,359.9647312991706,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Los_Angeles,15760.83303048336,15760.83303048336,0.0,0.0
